utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T06:50:05Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,4,16,256,1,3,0.015,0.005,31.5,0.006942,0.002314,37.79,0.047257,0.015752,59.59
2026-04-08T06:50:19Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,8,32,256,1,3,0.01202,0.004007,51.1,0.008793,0.002931,56.46,0.033838,0.011279,78.37
2026-04-08T06:50:19Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,12,48,256,1,3,0.012134,0.004045,72.73,0.01096,0.003653,75.95,0.034385,0.011462,97.15
2026-04-08T06:50:19Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,4,20,256,1,3,0.027949,0.009316,86.56,0.010468,0.003489,91.26,0.040585,0.013528,124.91
2026-04-08T06:50:20Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,256,1,3,0.025207,0.008402,115.19,0.013023,0.004341,114.75,0.049252,0.016417,147.17
2026-04-08T06:50:20Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,12,60,256,1,3,0.013264,0.004421,143.93,0.014122,0.004707,138.48,0.040651,0.01355,169.45
2026-04-08T06:50:20Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,4,24,256,1,3,0.013327,0.004442,153.68,0.008609,0.00287,150.86,0.039786,0.013262,125.31
2026-04-08T06:50:21Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,256,1,3,0.013407,0.004469,136.97,0.012822,0.004274,119.08,0.050542,0.016847,155.93
2026-04-08T06:50:21Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,12,72,256,1,3,0.013238,0.004413,183.72,0.01722,0.00574,152.25,0.040694,0.013565,170.28
2026-04-08T06:50:21Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,4,28,256,1,3,0.013502,0.004501,164.03,0.009332,0.003111,142.75,0.045827,0.015276,194.6
2026-04-08T06:50:21Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,256,1,3,0.015374,0.005125,252.87,0.014724,0.004908,199.43,0.037133,0.012378,244.26
2026-04-08T06:50:22Z,ab982d7,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,12,84,256,1,3,0.020074,0.006691,340.59,0.019738,0.006579,258.84,0.037724,0.012575,294.18
