utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T07:56:00Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,4,16,256,2,8,0.029587,0.003698,31.5,0.02273,0.002841,37.79,0.141335,0.017667,1147.59
2026-04-08T07:56:03Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,8,32,256,2,8,0.028306,0.003538,51.1,0.022133,0.002767,56.46,0.135215,0.016902,1166.75
2026-04-08T07:56:03Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,12,48,256,2,8,0.037981,0.004748,72.73,0.032439,0.004055,75.95,0.136553,0.017069,1152.31
2026-04-08T07:56:04Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,4,20,256,2,8,0.028713,0.003589,53.7,0.017971,0.002246,58.4,0.259197,0.0324,2268.05
2026-04-08T07:56:04Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,256,2,8,0.028789,0.003599,82.33,0.025576,0.003197,81.89,0.260839,0.032605,2290.35
2026-04-08T07:56:05Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,12,60,256,2,8,0.029318,0.003665,112.33,0.033575,0.004197,105.63,0.262545,0.032818,2313.41
2026-04-08T07:56:05Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,4,24,256,2,8,0.031047,0.003881,120.82,0.020078,0.00251,118.0,0.508995,0.063624,4527.71
2026-04-08T07:56:06Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,256,2,8,0.03056,0.00382,169.83,0.029956,0.003745,151.94,0.512381,0.064048,4556.65
2026-04-08T07:56:07Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,12,72,256,2,8,0.030818,0.003852,216.7,0.037454,0.004682,185.11,0.518753,0.064844,4589.02
2026-04-08T07:56:08Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,4,28,256,2,8,0.039682,0.00496,215.07,0.028853,0.003607,191.92,1.016438,0.127055,8994.91
2026-04-08T07:56:09Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,256,2,8,0.034679,0.004335,187.16,0.032133,0.004017,133.71,1.024778,0.128097,8931.07
2026-04-08T07:56:10Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,12,84,256,2,8,0.050375,0.006297,274.87,0.04394,0.005493,193.13,1.038848,0.129856,8978.66
