utc_iso,git_sha,device,gpu_name,torch_version,depth,fanout,num_leaves,chunk_len,tokens_per_path,dim,warmup,reps,tf_elapsed_s,tf_per_step_s,tf_peak_mib,gru_elapsed_s,gru_per_step_s,gru_peak_mib,m2_elapsed_s,m2_per_step_s,m2_peak_mib
2026-04-08T07:15:48Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,4,16,256,2,8,0.032732,0.004091,31.5,0.017141,0.002143,37.79,0.093955,0.011744,59.59
2026-04-08T07:16:02Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,8,32,256,2,8,0.028347,0.003543,51.1,0.020361,0.002545,56.46,0.094871,0.011859,78.37
2026-04-08T07:16:03Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,3,2,8,12,48,256,2,8,0.028367,0.003546,72.73,0.025148,0.003144,75.95,0.091905,0.011488,97.15
2026-04-08T07:16:03Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,4,20,256,2,8,0.028031,0.003504,86.56,0.017935,0.002242,91.26,0.092175,0.011522,124.91
2026-04-08T07:16:03Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,8,40,256,2,8,0.030041,0.003755,115.19,0.024493,0.003062,114.75,0.095363,0.01192,147.17
2026-04-08T07:16:03Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,4,2,16,12,60,256,2,8,0.028456,0.003557,143.93,0.031262,0.003908,138.48,0.099661,0.012458,103.74
2026-04-08T07:16:04Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,4,24,256,2,8,0.030441,0.003805,87.96,0.019451,0.002431,85.14,0.096594,0.012074,125.31
2026-04-08T07:16:04Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,8,48,256,2,8,0.029479,0.003685,104.11,0.029958,0.003745,86.22,0.098345,0.012293,123.08
2026-04-08T07:16:05Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,5,2,32,12,72,256,2,8,0.028752,0.003594,134.44,0.052174,0.006522,102.97,0.099021,0.012378,137.31
2026-04-08T07:16:05Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,4,28,256,2,8,0.029338,0.003667,131.18,0.020667,0.002583,108.91,0.093883,0.011735,161.75
2026-04-08T07:16:05Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,8,56,256,2,8,0.031532,0.003941,220.02,0.031219,0.003902,166.57,0.094076,0.01176,211.4
2026-04-08T07:16:06Z,6fa7873,cuda,NVIDIA GeForce RTX 3090,2.11.0+cu126,6,2,64,12,84,256,2,8,0.051921,0.00649,307.73,0.045144,0.005643,225.98,0.096088,0.012011,261.33
